",,,,,,,,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,,-additional"
"Class.,Jogador,Nação,Pos.,Equipe,Camp.,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,-9999"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999"
"2554,Óscar Trejo,ar ARG,LTAT,Rayo Vallecano,es La Liga,34-346,1988,25,22,1.653,18.4,3,4,7,2,1,2,8,0,2.9,1.3,2.9,42,42,93,85,016,022,038,011,033,016,016,032,007,023,Partidas,fc647b34"
"2555,Manu Trigueros,es ESP,LT,Villarreal,es La Liga,31-172,1991,16,6,563,6.3,0,0,0,0,0,0,2,1,0.2,0.2,0.4,06,8,48,14,000,000,000,000,000,003,006,009,003,009,Partidas,963829d0"
"2556,Christopher Trimmel,at AUT,ZG,Union Berlin,de Bundesliga,36-042,1987,20,17,1.559,17.3,0,5,5,0,0,0,1,0,0.6,0.6,2.3,28,28,49,72,000,029,029,000,029,003,013,016,003,016,Partidas,056d2d95"
"2557,Kieran Trippier,eng ENG,ZG,Newcastle Utd,eng Premier League,32-200,1990,28,28,2.463,27.4,1,6,7,1,0,0,5,0,0.7,0.7,8.6,94,24,179,117,004,022,026,004,026,003,032,034,003,034,Partidas,21512407"
"2558,William Troost-Ekong,ng NGA,ZG,Salernitana,it Serie A,29-218,1993,3,3,262,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,4,0,000,000,000,000,000,000,000,000,000,000,Partidas,7ed4921e"
"2559,Leandro Trossard,be BEL,AT,Arsenal,eng Premier League,28-124,1994,11,7,543,6.0,1,7,8,1,0,0,0,0,1.4,1.4,3.6,50,25,31,71,017,116,133,017,133,023,060,082,023,082,Partidas,38ceb24a"
"2560,Leandro Trossard,be BEL,ATLT,Brighton,eng Premier League,28-124,1994,16,16,1.315,14.6,7,2,9,7,0,0,1,0,4.4,4.4,2.1,65,40,67,118,048,014,062,048,062,030,014,045,030,045,Partidas,38ceb24a"
"2561,Adrien Truffert,fr FRA,ZG,Rennes,fr Ligue 1,21-138,2001,28,24,1.954,21.7,0,6,6,0,0,0,1,0,0.6,0.6,1.5,22,55,89,166,000,028,028,000,028,003,007,010,003,010,Partidas,5d0e0a1f"
"2562,Frank Tsadjout,it ITA,ATLT,Cremonese,it Serie A,23-253,1999,14,9,678,7.5,2,1,3,2,0,0,1,0,1.1,1.1,0.3,14,7,11,41,027,013,040,027,040,015,003,019,015,019,Partidas,0588a092"
"2563,Kostas Tsimikas,gr GRE,ZG,Liverpool,eng Premier League,26-330,1996,16,7,622,6.9,0,4,4,0,0,0,2,0,0.6,0.6,1.5,22,19,22,69,000,058,058,000,058,009,022,031,009,031,Partidas,f315ca93"
"2564,Theocharis Tsingaras,gr GRE,LT,Toulouse,fr Ligue 1,22-230,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,01,0,1,0,000,000,000,000,000,000,085,085,000,085,Partidas,906baf89"
"2565,Viktor Tsyhankov,ua UKR,LT,Girona,es La Liga,25-143,1997,8,6,540,6.0,3,3,6,3,0,0,0,0,2.2,2.2,1.6,37,21,15,53,050,050,100,050,100,036,026,062,036,062,Partidas,f7e87032"
"2566,Alessandro Tuia,it ITA,ZG,Lecce,it Serie A,32-303,1990,7,6,509,5.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,01,1,20,0,000,000,000,000,000,002,001,002,002,002,Partidas,26c54058"
"2567,Martin Turk,si SVN,G,Sampdoria,it Serie A,19-229,2003,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,14ae023f"
"2568,Beñat Turrientes,es ESP,LTAT,Real Sociedad,es La Liga,21-066,2002,6,1,106,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,02,0,2,4,000,000,000,000,000,000,013,013,000,013,Partidas,068f4dec"
"2569,Tuta,br BRA,ZG,Eint Frankfurt,de Bundesliga,23-277,1999,24,24,2.151,23.9,1,0,1,1,0,0,5,0,1.1,1.1,0.4,16,13,82,14,004,000,004,004,004,005,002,007,005,007,Partidas,35d64857"
"2570,Iyenoma Udogie,it ITA,ZG,Udinese,it Serie A,20-130,2002,24,24,2.074,23.0,3,3,6,3,0,0,4,0,2.5,2.5,3.8,63,80,81,121,013,013,026,013,026,011,017,028,011,028,Partidas,7cd520e8"
"2571,Ike Ugbo,ca CAN,ATLT,Troyes,fr Ligue 1,24-198,1998,17,5,439,4.9,2,1,3,2,0,0,0,0,1.7,1.7,0.3,20,4,2,18,041,021,062,041,062,035,007,042,035,042,Partidas,8a53d24b"
"2572,Chimuanya Ugochukwu,fr FRA,LT,Rennes,fr Ligue 1,19-012,2004,18,10,1.024,11.4,0,1,1,0,0,0,1,1,0.2,0.2,0.7,09,7,41,10,000,009,009,000,009,002,007,008,002,008,Partidas,1df4a109"
"2573,Sven Ulreich,de GER,G,Bayern Munich,de Bundesliga,34-247,1988,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,7d3e7da6"
"2574,Lauren Ulrich,de GER,LT,Stuttgart,de Bundesliga,18-066,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,1,0,000,000,000,000,000,000,000,000,000,000,Partidas,cd61c7af"
"2575,Samuel Umtiti,fr FRA,ZG,Lecce,it Serie A,29-144,1993,15,14,1.214,13.5,0,0,0,0,0,0,5,0,0.4,0.4,0.0,05,7,33,1,000,000,000,000,000,003,000,003,003,003,Partidas,3eed9821"
"2576,Enes Ünal,tr TUR,AT,Getafe,es La Liga,25-332,1997,27,27,2.349,26.1,13,3,16,9,4,5,4,0,9.4,5.6,2.2,78,26,42,117,050,011,061,034,046,036,008,045,021,030,Partidas,f8eca1b6"
"2577,Deniz Undav,de GER,ATLT,Brighton,eng Premier League,26-262,1996,13,2,258,2.9,0,0,0,0,0,0,0,0,2.2,2.2,0.7,29,3,3,22,000,000,000,000,000,077,025,102,077,102,Partidas,dd549382"
"2578,Cengiz Ünder,tr TUR,LTZG,Marseille,fr Ligue 1,25-267,1997,28,19,1.692,18.8,2,4,6,1,1,1,3,0,5.3,4.5,4.9,94,52,66,173,011,021,032,005,027,028,026,054,024,050,Partidas,1880614f"
"2579,Dayot Upamecano,fr FRA,ZG,Bayern Munich,de Bundesliga,24-162,1998,24,24,2.067,23.0,0,1,1,0,0,0,5,1,0.7,0.7,0.3,10,28,156,7,000,004,004,000,004,003,001,004,003,004,Partidas,d248cd8f"
"2580,Filip Uremović,hr CRO,ZG,Hertha BSC,de Bundesliga,26-055,1997,17,16,1.372,15.2,0,0,0,0,0,0,5,1,0.8,0.8,0.3,11,1,12,1,000,000,000,000,000,005,002,007,005,007,Partidas,af842091"
"2581,Oscar Ureña,es ESP,LT,Girona,es La Liga,20-096,2003,3,1,100,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,02,1,1,10,000,000,000,000,000,016,000,016,016,016,Partidas,2dd7e29d"
"2582,Jere Uronen,fi FIN,ZG,Brest,fr Ligue 1,28-268,1994,6,3,300,3.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,02,3,15,14,000,030,030,000,030,001,006,007,001,007,Partidas,d75f3980"
"2583,Jere Uronen,fi FIN,ZG,Schalke 04,de Bundesliga,28-268,1994,6,6,426,4.7,0,0,0,0,0,0,1,0,0.1,0.1,0.7,08,7,17,8,000,000,000,000,000,001,015,017,001,017,Partidas,d75f3980"
"2584,Mark Uth,de GER,LTAT,Köln,de Bundesliga,31-226,1991,3,0,46,0.5,0,0,0,0,0,0,2,0,0.1,0.1,0.0,01,0,1,1,000,000,000,000,000,014,000,014,014,014,Partidas,a3ddb1b9"
"2585,Josha Vagnoman,de GER,ZGLT,Stuttgart,de Bundesliga,22-117,2000,15,8,780,8.7,0,0,0,0,0,0,2,1,1.2,1.2,0.3,15,17,18,43,000,000,000,000,000,014,003,017,014,017,Partidas,fb377d11"
"2586,Diego Valencia,cl CHI,LTAT,Salernitana,it Serie A,23-083,2000,12,0,231,2.6,0,0,0,0,0,0,1,0,0.1,0.1,0.1,02,1,4,21,000,000,000,000,000,005,005,009,005,009,Partidas,71005acd"
"2587,Óscar Valentín,es ESP,LT,Rayo Vallecano,es La Liga,28-230,1994,24,20,1.750,19.4,0,0,0,0,0,0,8,0,0.4,0.4,0.8,11,13,103,7,000,000,000,000,000,002,004,006,002,006,Partidas,592f3158"
"2588,Emanuele Valeri,it ITA,ZG,Cremonese,it Serie A,24-121,1998,27,24,2.075,23.1,2,2,4,2,0,0,2,0,1.7,1.7,3.4,51,83,72,118,009,009,017,009,017,007,015,022,007,022,Partidas,ec52b661"
"2589,Valery,es ESP,LTZG,Girona,es La Liga,23-135,1999,18,5,667,7.4,0,2,2,0,0,0,1,0,0.4,0.4,1.0,14,12,13,59,000,027,027,000,027,005,014,019,005,019,Partidas,4acd733a"
"2590,Yan Valery,tn TUN,ZG,Southampton,eng Premier League,24-044,1999,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,531a4aa8"
"2591,Yan Valery,tn TUN,ZG,Angers,fr Ligue 1,24-044,1999,21,21,1.722,19.1,0,0,0,0,0,0,1,0,0.6,0.6,1.6,22,55,47,60,000,000,000,000,000,003,009,012,003,012,Partidas,531a4aa8"
"2592,Enrique Valiente,es ESP,ZG,Sevilla,es La Liga,20-349,2002,6,4,368,4.1,1,1,2,1,0,0,1,1,0.2,0.2,0.2,04,3,14,0,024,024,049,024,049,004,005,009,004,009,Partidas,0a69de7b"
"2593,Martin Valjent,sk SVK,ZG,Mallorca,es La Liga,27-117,1995,20,20,1.756,19.5,0,0,0,0,0,0,7,0,0.1,0.1,0.4,04,9,41,2,000,000,000,000,000,000,002,002,000,002,Partidas,f2c6ac01"
"2594,Jesús Vallejo,es ESP,ZG,Real Madrid,es La Liga,26-092,1997,1,0,22,0.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,03,0,0,0,000,000,000,000,000,129,000,129,129,129,Partidas,c2111b45"
"2595,Manu Vallejo,es ESP,ATLT,Girona,es La Liga,26-052,1997,7,2,206,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.3,03,7,10,25,000,044,044,000,044,001,012,013,001,013,Partidas,0bc4e720"
"2596,Mattia Valoti,it ITA,LT,Monza,it Serie A,29-213,1993,10,2,270,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,01,4,12,7,000,000,000,000,000,004,001,005,004,005,Partidas,c414df9d"
"2597,Federico Valverde,uy URU,ATLT,Real Madrid,es La Liga,24-259,1998,26,23,2.031,22.6,7,2,9,7,0,0,2,0,3.4,3.4,4.7,81,62,117,105,031,009,040,031,040,015,021,036,015,036,Partidas,0959c2a2"
"2598,Virgil van Dijk,nl NED,ZG,Liverpool,eng Premier League,31-273,1991,23,23,2.025,22.5,3,0,3,3,0,0,1,0,2.2,2.2,0.2,24,10,92,6,013,000,013,013,013,010,001,011,010,011,Partidas,e06683ca"
"2599,Vanderson,br BRA,ZGLT,Monaco,fr Ligue 1,21-290,2001,23,16,1.521,16.9,1,3,4,1,0,0,2,1,2.0,2.0,2.4,44,35,87,127,006,018,024,006,024,012,014,026,012,026,Partidas,ee45fd85"
"2600,Raphaël Varane,fr FRA,ZG,Manchester Utd,eng Premier League,29-347,1993,21,19,1.651,18.3,0,0,0,0,0,0,1,0,0.7,0.7,0.2,09,16,53,3,000,000,000,000,000,004,001,005,004,005,Partidas,9f8e9423"
"2601,Jamie Vardy,eng ENG,AT,Leicester City,eng Premier League,36-086,1987,28,12,1.358,15.1,1,4,5,1,0,0,1,0,2.7,2.7,0.8,35,12,12,80,007,027,033,007,033,018,005,023,018,023,Partidas,45963054"
"2602,Ruben Vargas,ch SUI,LTAT,Augsburg,de Bundesliga,24-245,1998,17,9,776,8.6,1,2,3,1,0,0,3,0,0.7,0.7,1.8,26,18,30,45,012,023,035,012,035,008,021,030,008,030,Partidas,6ecbddf6"
"2603,Johan Vásquez,mx MEX,ZG,Cremonese,it Serie A,24-167,1998,16,11,1.079,12.0,0,0,0,0,0,0,6,0,0.4,0.4,0.2,05,14,31,8,000,000,000,000,000,003,001,004,003,004,Partidas,5eaed77a"
"2604,Jesus Vazquez,es ESP,ZGLT,Valencia,es La Liga,20-095,2003,8,3,275,3.1,0,0,0,0,0,0,1,0,0.2,0.2,0.3,05,3,10,15,000,000,000,000,000,006,009,015,006,015,Partidas,106c142c"
"2605,Kevin Vázquez,es ESP,ZGLT,Celta Vigo,es La Liga,30-015,1993,5,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,01,2,8,7,000,000,000,000,000,000,006,006,000,006,Partidas,ee923664"
"2606,Lucas Vázquez,es ESP,ZG,Real Madrid,es La Liga,31-280,1991,13,6,582,6.5,3,0,3,3,0,0,1,0,1.4,1.4,0.9,23,19,29,69,046,000,046,046,046,021,014,035,021,035,Partidas,fd51b456"
"2607,Matías Vecino,uy URU,LT,Lazio,it Serie A,31-226,1991,25,12,1.282,14.2,2,0,2,2,0,0,5,0,2.1,2.1,0.1,23,20,72,16,014,000,014,014,014,015,001,016,015,016,Partidas,44ac04e9"
"2608,Gabriel Veiga,es ESP,LT,Celta Vigo,es La Liga,20-315,2002,26,19,1.586,17.6,9,4,13,9,0,0,5,1,5.5,5.5,2.3,78,48,78,56,051,023,074,051,074,031,013,044,031,044,Partidas,35a6e5c7"
"2609,Renato Veiga,pt POR,ZG,Augsburg,de Bundesliga,19-252,2003,6,4,335,3.7,0,0,0,0,0,0,2,0,0.1,0.1,0.1,02,5,4,3,000,000,000,000,000,004,002,005,004,005,Partidas,fc8fcbd1"
"2610,Miloš Veljković,rs SRB,ZG,Werder Bremen,de Bundesliga,27-193,1995,21,18,1.611,17.9,1,0,1,1,0,0,1,0,0.4,0.4,0.5,09,4,51,2,006,000,006,006,006,002,003,005,002,005,Partidas,a5ae8f8e"
"2611,Miguel Veloso,pt POR,LT,Hellas Verona,it Serie A,36-331,1986,18,11,970,10.8,0,0,0,0,0,0,4,0,0.4,0.4,2.0,24,14,73,19,000,000,000,000,000,004,018,022,004,022,Partidas,ab1ca213"
"2612,Joël Veltman,nl NED,ZG,Brighton,eng Premier League,31-082,1992,25,20,1.879,20.9,1,1,2,1,0,0,2,0,1.7,1.7,0.5,22,41,135,42,005,005,010,005,010,008,002,010,008,010,Partidas,dad4b285"
"2613,Mickey van de Ven,nl NED,ZG,Wolfsburg,de Bundesliga,21-353,2001,26,26,2.340,26.0,1,1,2,1,0,0,4,0,1.2,1.2,0.5,17,27,76,13,004,004,008,004,008,005,002,006,005,006,Partidas,8fe2a392"
"2614,Unai Vencedor Paris,es ESP,LT,Athletic Club,es La Liga,22-143,2000,7,0,149,1.7,0,0,0,0,0,0,2,0,0.5,0.5,0.0,05,1,12,2,000,000,000,000,000,029,002,031,029,031,Partidas,4112ace5"
"2615,Lorenzo Venuti,it ITA,ZG,Fiorentina,it Serie A,27-360,1995,11,6,615,6.8,0,1,1,0,0,0,0,0,0.3,0.3,0.3,06,18,36,25,000,015,015,000,015,005,004,009,005,009,Partidas,983ff2c7"
"2616,Daniele Verde,it ITA,ATLT,Spezia,it Serie A,26-291,1996,17,9,734,8.2,2,0,2,1,1,1,1,0,2.0,1.2,1.0,22,11,23,36,025,000,025,012,012,025,012,037,015,027,Partidas,d3298c99"
"2617,Simone Verdi,it ITA,LT,Hellas Verona,it Serie A,30-269,1992,15,6,633,7.0,2,0,2,2,0,0,2,0,1.0,1.0,1.2,22,25,32,35,028,000,028,028,028,014,018,031,014,031,Partidas,0375723e"
"2618,Gonzalo Verdú,es ESP,ZG,Elche,es La Liga,34-168,1988,12,8,604,6.7,1,0,1,1,0,0,1,2,0.3,0.3,0.0,03,0,8,0,015,000,015,015,015,004,000,004,004,004,Partidas,1c2c55fc"
"2619,Jordan Veretout,fr FRA,LT,Marseille,fr Ligue 1,30-037,1993,29,22,2.053,22.8,3,2,5,3,0,0,3,0,2.6,2.6,2.4,50,38,168,55,013,009,022,013,022,011,010,022,011,022,Partidas,4a56052c"
"2620,Marco Verratti,it ITA,LT,Paris S-G,fr Ligue 1,30-153,1992,22,21,1.663,18.5,0,0,0,0,0,0,8,1,0.4,0.4,1.1,15,31,197,33,000,000,000,000,000,002,006,008,002,008,Partidas,1467af0d"
"2621,Valerio Verre,it ITA,LT,Sampdoria,it Serie A,29-086,1994,18,6,677,7.5,0,0,0,0,0,0,5,0,0.6,0.6,1.1,17,16,45,27,000,000,000,000,000,008,014,022,008,022,Partidas,33ecf462"
"2622,Mikel Vesga,es ESP,LT,Athletic Club,es La Liga,29-321,1993,26,20,1.858,20.6,3,2,5,1,2,2,4,0,2.4,0.8,1.2,21,18,162,26,015,010,024,005,015,012,006,018,004,010,Partidas,b0fce72c"
"2623,Guglielmo Vicario,it ITA,G,Empoli,it Serie A,26-182,1996,24,24,2.160,24.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,77d6fd4d"
"2624,João Victor,br BRA,ZG,Nantes,fr Ligue 1,24-264,1998,8,5,552,6.1,0,1,1,0,0,0,2,0,0.0,0.0,0.4,04,8,22,6,000,016,016,000,016,000,007,007,000,007,Partidas,d60cf08d"
"2625,Aleix Vidal,es ESP,ATLT,Espanyol,es La Liga,33-229,1989,20,10,897,10.0,0,1,1,0,0,0,4,0,0.1,0.1,1.5,16,10,19,40,000,010,010,000,010,001,015,016,001,016,Partidas,04965583"
"2626,Clément Vidal,fr FRA,ZGLT,Ajaccio,fr Ligue 1,22-293,2000,19,14,1.271,14.1,0,0,0,0,0,0,4,1,0.6,0.6,0.2,08,3,54,3,000,000,000,000,000,004,002,006,004,006,Partidas,b2791a55"
"2627,Nacho Vidal,es ESP,ZG,Osasuna,es La Liga,28-073,1995,16,12,1.046,11.6,0,0,0,0,0,0,4,0,0.5,0.5,0.6,11,16,36,45,000,000,000,000,000,005,005,010,005,010,Partidas,3a9c4b7b"
"2628,Gabriel Vidovic,hr CRO,AT,Bayern Munich,de Bundesliga,19-127,2003,1,0,19,0.2,0,1,1,0,0,0,0,0,0.0,0.0,0.1,01,0,1,2,000,474,474,000,474,000,039,039,000,039,Partidas,5360a956"
"2629,Fabio Vieira,pt POR,LTAT,Arsenal,eng Premier League,22-312,2000,18,2,415,4.6,1,2,3,1,0,0,0,0,0.7,0.7,2.3,31,5,27,34,022,043,065,022,065,016,051,067,016,067,Partidas,6412cc03"
"2630,Ronaldo Vieira,gw GNB,LT,Torino,it Serie A,24-262,1998,1,0,15,0.2,0,0,0,0,0,0,0,0,,,,,,,,000,000,000,000,000,,,,,,Partidas,75e60d75"
"2631,Ronaldo Vieira,gw GNB,LT,Sampdoria,it Serie A,24-262,1998,16,8,815,9.1,0,0,0,0,0,0,3,0,,,,,,,,000,000,000,000,000,,,,,,Partidas,75e60d75"
"2632,Emanuel Vignato,it ITA,LTAT,Bologna,it Serie A,22-226,2000,8,2,242,2.7,0,1,1,0,0,0,1,0,0.1,0.1,0.4,05,3,9,4,000,037,037,000,037,003,014,017,003,017,Partidas,ec5dae45"
"2633,Emanuel Vignato,it ITA,ATLT,Empoli,it Serie A,22-226,2000,3,0,24,0.3,1,0,1,1,0,0,0,0,0.2,0.2,0.1,03,0,4,3,375,000,375,375,375,071,045,117,071,117,Partidas,ec5dae45"
"2634,Samuele Vignato,it ITA,ATLT,Monza,it Serie A,19-042,2004,3,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,0,2,000,000,000,000,000,000,000,000,000,000,Partidas,a14d0ab0"
"2635,Tonny Vilhena,nl NED,LT,Salernitana,it Serie A,28-094,1995,24,20,1.659,18.4,3,1,4,3,0,0,4,0,2.2,2.2,1.7,39,25,63,53,016,005,022,016,022,012,009,021,012,021,Partidas,c7069d87"
"2636,Toni Villa,es ESP,LT,Valladolid,es La Liga,28-090,1995,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,2,4,5,000,000,000,000,000,000,002,002,000,002,Partidas,636eae97"
"2637,Toni Villa,es ESP,LTAT,Girona,es La Liga,28-090,1995,21,9,776,8.6,1,2,3,1,0,0,2,0,1.0,1.0,1.4,24,37,37,85,012,023,035,012,035,012,017,028,012,028,Partidas,636eae97"
"2638,Asier Villalibre,es ESP,AT,Athletic Club,es La Liga,25-189,1997,5,1,97,1.1,0,0,0,0,0,0,0,0,0.3,0.3,0.2,05,0,2,9,000,000,000,000,000,029,019,047,029,047,Partidas,57be54ec"
"2639,Gonzalo Villar,es ESP,LT,Sampdoria,it Serie A,25-015,1998,15,8,696,7.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,00,9,26,2,000,000,000,000,000,000,000,000,000,000,Partidas,bdc74a8f"
"2640,Gonzalo Villar,es ESP,LTAT,Getafe,es La Liga,25-015,1998,9,2,233,2.6,0,0,0,0,0,0,3,0,0.1,0.1,0.3,03,8,12,3,000,000,000,000,000,002,010,012,002,012,Partidas,bdc74a8f"
"2641,Iván Villar,es ESP,G,Celta Vigo,es La Liga,25-272,1997,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,cde52ef5"
"2642,Matías Viña,uy URU,LTZG,Bournemouth,eng Premier League,25-149,1997,4,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,1,1,000,000,000,000,000,000,000,000,000,000,Partidas,08eb3b58"
"2643,Matías Viña,uy URU,ZG,Roma,it Serie A,25-149,1997,3,1,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,01,2,2,4,000,000,000,000,000,000,018,018,000,018,Partidas,08eb3b58"
"2644,Rúben Vinagre,pt POR,ZGLT,Everton,eng Premier League,23-363,1999,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,2,0,1,000,000,000,000,000,000,000,000,000,000,Partidas,b937e490"
"2645,Carlos Vinícius,br BRA,AT,Fulham,eng Premier League,28-013,1995,19,6,652,7.2,2,1,3,2,0,0,2,0,1.6,1.6,0.6,22,3,7,28,028,014,041,028,041,022,008,031,022,031,Partidas,8b529245"
"2646,Alan Virginius,fr FRA,AT,Lille,fr Ligue 1,20-094,2003,13,1,230,2.6,1,0,1,1,0,0,1,0,3.1,3.1,0.0,31,10,9,28,039,000,039,039,039,120,001,122,120,122,Partidas,01becd60"
"2647,Mattia Viti,it ITA,ZG,Nice,fr Ligue 1,21-073,2002,9,7,634,7.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,01,1,19,1,014,000,014,014,014,001,000,001,001,001,Partidas,75438a9a"
"2648,Vitinha,pt POR,AT,Marseille,fr Ligue 1,23-023,2000,5,2,126,1.4,0,0,0,0,0,0,0,0,0.5,0.5,0.0,05,0,5,10,000,000,000,000,000,035,000,035,035,035,Partidas,74d4cec6"
"2649,Vitinha,pt POR,LT,Paris S-G,fr Ligue 1,23-053,2000,27,22,1.823,20.3,0,1,1,0,0,0,2,0,2.1,2.1,1.9,40,41,101,68,000,005,005,000,005,010,010,020,010,020,Partidas,3b029691"
"2650,Daniel Vivian,es ESP,ZG,Athletic Club,es La Liga,23-266,1999,19,18,1.625,18.1,1,0,1,1,0,0,4,0,0.9,0.9,0.5,14,16,81,4,006,000,006,006,006,005,003,008,005,008,Partidas,ab7bf91d"
"2651,Dušan Vlahović,rs SRB,AT,Juventus,it Serie A,23-069,2000,19,17,1.492,16.6,8,2,10,6,2,3,0,0,7.8,5.4,1.5,69,18,35,98,048,012,060,036,048,047,009,056,033,042,Partidas,79443529"
"2652,Nikola Vlašić,hr CRO,LTAT,Torino,it Serie A,25-185,1997,24,22,2.018,22.4,4,2,6,4,0,0,1,0,3.8,3.8,2.7,66,56,73,161,018,009,027,018,027,017,012,029,017,029,Partidas,aa8e289e"
"2653,Joel Voelkerling Persson,se SWE,AT,Lecce,it Serie A,20-082,2003,5,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,2,6,000,000,000,000,000,000,003,003,000,003,Partidas,b3ef6517"
"2654,Kevin Vogt,de GER,ZG,Hoffenheim,de Bundesliga,31-196,1991,20,20,1.640,18.2,0,0,0,0,0,0,8,0,0.0,0.0,0.2,02,14,93,2,000,000,000,000,000,000,001,001,000,001,Partidas,1d8e9add"
"2655,Mërgim Vojvoda,xk KVX,ZG,Torino,it Serie A,28-065,1995,22,12,1.185,13.2,0,4,4,0,0,0,3,0,0.9,0.9,1.6,26,18,91,55,000,030,030,000,030,007,012,019,007,019,Partidas,be2706c0"
"2656,Kevin Volland,de GER,ATLT,Monaco,fr Ligue 1,30-251,1992,10,4,389,4.3,2,2,4,2,0,0,0,0,1.3,1.3,0.5,18,4,21,34,046,046,093,046,093,030,012,042,030,042,Partidas,64f69877"
"2657,Cristian Volpato,it ITA,LT,Roma,it Serie A,19-143,2003,6,2,205,2.3,1,1,2,1,0,0,0,0,0.4,0.4,1.2,15,7,17,21,044,044,088,044,088,015,052,067,015,067,Partidas,72f87f25"
"2658,Lukáš Vorlický,cz CZE,LTAT,Atalanta,it Serie A,21-079,2002,3,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,2,3,3,000,000,000,000,000,018,000,018,018,018,Partidas,f052fb01"
"2659,Aster Vranckx,be BEL,LT,Milan,it Serie A,20-185,2002,7,0,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.3,03,2,2,4,000,000,000,000,000,000,033,033,000,033,Partidas,f86cd5df"
"2660,Aster Vranckx,be BEL,LT,Wolfsburg,de Bundesliga,20-185,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,f86cd5df"
"2661,Stefan de Vrij,nl NED,ZG,Inter,it Serie A,31-061,1992,17,15,1.338,14.9,1,0,1,1,0,0,2,0,0.8,0.8,0.2,10,10,42,0,007,000,007,007,007,006,001,007,006,007,Partidas,d0d8dd44"
"2662,Robert Wagner,de GER,LT,Freiburg,de Bundesliga,19-267,2003,2,0,23,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,0,0,1,000,000,000,000,000,000,000,000,000,000,Partidas,e3d3fbeb"
"2663,Walace,br BRA,LT,Udinese,it Serie A,28-003,1995,27,27,2.349,26.1,0,0,0,0,0,0,5,0,1.0,1.0,0.9,19,40,128,28,000,000,000,000,000,004,003,007,004,007,Partidas,26db8853"
"2664,Theo Walcott,eng ENG,ATLT,Southampton,eng Premier League,34-022,1989,11,5,539,6.0,1,1,2,1,0,0,1,0,1.2,1.2,0.8,20,9,2,34,017,017,033,017,033,021,013,034,021,034,Partidas,1ecb65be"
